pipeline	source	protocol	metric	mean	ci_lo	ci_hi	n_targets
green	amber_crystal	dualspace_beta	clashscore	0.8116	0.7648	0.8584	252
green	amber_crystal	dualspace_beta	molprobity_score	0.3119	0.2927	0.3312	252
green	amber_crystal	dualspace_beta	rota_outliers	0.0271	0.0192	0.0351	252
green	amber_crystal	dualspace_beta	rama_favored	97.9342	97.7919	98.0764	252
green	amber_crystal	dualspace_ref15	clashscore	1.4751	1.402	1.5482	251
green	amber_crystal	dualspace_ref15	molprobity_score	0.4503	0.4297	0.471	251
green	amber_crystal	dualspace_ref15	rota_outliers	0.0252	0.0172	0.0333	251
green	amber_crystal	dualspace_ref15	rama_favored	97.8029	97.6696	97.9362	251
green	amber_crystal	normal_beta	clashscore	0.677	0.5907	0.7633	249
green	amber_crystal	normal_beta	molprobity_score	0.322	0.2972	0.3467	249
green	amber_crystal	normal_beta	rota_outliers	0.0523	0.0401	0.0645	249
green	amber_crystal	normal_beta	rama_favored	97.3141	97.141	97.4872	249
green	amber_crystal	normal_ref15	clashscore	1.0932	0.993	1.1933	248
green	amber_crystal	normal_ref15	molprobity_score	0.4395	0.4142	0.4648	248
green	amber_crystal	normal_ref15	rota_outliers	0.0494	0.0368	0.0619	248
green	amber_crystal	normal_ref15	rama_favored	97.0883	96.9248	97.2517	248
green	boltz	cartesian_beta	clashscore	0.7363	0.7048	0.7678	256
green	boltz	cartesian_beta	molprobity_score	0.2374	0.2284	0.2464	256
green	boltz	cartesian_beta	rota_outliers	0.0229	0.0167	0.0291	256
green	boltz	cartesian_beta	rama_favored	98.6744	98.6041	98.7447	256
green	boltz	cartesian_ref15	clashscore	1.3972	1.3424	1.452	256
green	boltz	cartesian_ref15	molprobity_score	0.3787	0.367	0.3903	256
green	boltz	cartesian_ref15	rota_outliers	0.0184	0.0126	0.0241	256
green	boltz	cartesian_ref15	rama_favored	98.4781	98.406	98.5501	256
green	boltz	dualspace_beta	clashscore	0.6881	0.6601	0.7162	256
green	boltz	dualspace_beta	molprobity_score	0.2243	0.2159	0.2327	256
green	boltz	dualspace_beta	rota_outliers	0.0223	0.0167	0.0278	256
green	boltz	dualspace_beta	rama_favored	98.7346	98.665	98.8042	256
green	boltz	dualspace_ref15	clashscore	1.2906	1.2406	1.3405	255
green	boltz	dualspace_ref15	molprobity_score	0.3543	0.3436	0.365	255
green	boltz	dualspace_ref15	rota_outliers	0.0187	0.0126	0.0249	255
green	boltz	dualspace_ref15	rama_favored	98.597	98.5288	98.6652	255
green	boltz	normal_beta	clashscore	0.5957	0.5631	0.6284	255
green	boltz	normal_beta	molprobity_score	0.2122	0.2012	0.2232	255
green	boltz	normal_beta	rota_outliers	0.0359	0.029	0.0428	255
green	boltz	normal_beta	rama_favored	98.4288	98.3508	98.5067	255
green	boltz	normal_ref15	clashscore	0.8865	0.8469	0.9261	255
green	boltz	normal_ref15	molprobity_score	0.2859	0.2743	0.2975	255
green	boltz	normal_ref15	rota_outliers	0.0347	0.0271	0.0423	255
green	boltz	normal_ref15	rama_favored	98.3442	98.2676	98.4209	255
green	crystal	cartesian_beta	clashscore	0.9386	0.8903	0.9868	252
green	crystal	cartesian_beta	molprobity_score	0.3586	0.3373	0.3799	252
green	crystal	cartesian_beta	rota_outliers	0.0287	0.02	0.0374	252
green	crystal	cartesian_beta	rama_favored	97.7051	97.5492	97.861	252
green	crystal	cartesian_ref15	clashscore	1.6367	1.5577	1.7157	252
green	crystal	cartesian_ref15	molprobity_score	0.497	0.475	0.5189	252
green	crystal	cartesian_ref15	rota_outliers	0.0295	0.0207	0.0382	252
green	crystal	cartesian_ref15	rama_favored	97.5782	97.4353	97.721	252
green	crystal	dualspace_beta	clashscore	0.8062	0.7654	0.8469	252
green	crystal	dualspace_beta	molprobity_score	0.295	0.2775	0.3125	252
green	crystal	dualspace_beta	rota_outliers	0.0239	0.0155	0.0324	252
green	crystal	dualspace_beta	rama_favored	98.126	97.9941	98.258	252
green	crystal	dualspace_ref15	clashscore	1.4478	1.3846	1.511	252
green	crystal	dualspace_ref15	molprobity_score	0.4256	0.4071	0.4441	252
green	crystal	dualspace_ref15	rota_outliers	0.0195	0.012	0.0269	252
green	crystal	dualspace_ref15	rama_favored	98.0262	97.8973	98.1551	252
green	crystal	normal_beta	clashscore	0.8795	0.8157	0.9432	252
green	crystal	normal_beta	molprobity_score	0.3453	0.3216	0.369	252
green	crystal	normal_beta	rota_outliers	0.06	0.0473	0.0727	252
green	crystal	normal_beta	rama_favored	97.6236	97.4645	97.7827	252
green	crystal	normal_ref15	clashscore	1.434	1.1966	1.6713	252
green	crystal	normal_ref15	molprobity_score	0.442	0.4173	0.4668	252
green	crystal	normal_ref15	rota_outliers	0.0628	0.049	0.0766	252
green	crystal	normal_ref15	rama_favored	97.5377	97.3913	97.6842	252
